Name,Website,Office,State,Campaign Facebook,Campaign Twitter,Personal Facebook,Personal Twitter,Email address,Direct Mail
Kevin Van Ausdal,https://www.kevinvanausdal.com/,U.S. House,Georgia,https://www.facebook.com/kevinforcongress2020/,https://www.twitter.com/KevinVanAusdal,,,contact@kevinvanausdal.com,mailto:contact@kevinvanausdal.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Earl Blumenauer,https://www.earlblumenauer.com/,U.S. House,Oregon,http://www.facebook.com/blumenauer,https://www.twitter.com/repblumenauer,,,earl@earlblumenauer.com,mailto:earl@earlblumenauer.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Ed Perlmutter,https://perlmutterforcolorado.com,U.S. House,Colorado,http://www.facebook.com/Ed4Colorado,https://www.twitter.com/Ed4Colorado,https://www.facebook.com/RepPerlmutter,https://www.twitter.com/repperlmutter,info@perlmutterforcolorado.com,mailto:info@perlmutterforcolorado.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Xochitl Torres Small,http://www.xochforcongress.com/,U.S. House,New Mexico,https://www.facebook.com/XochitlforCongress/,https://www.twitter.com/XochforCongress,https://www.facebook.com/xochitl.torres.526,https://www.twitter.com/RepTorresSmall,info@xochforcongress.com,mailto:info@xochforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Dana Barrett,https://www.electdanabarrett.com/,U.S. House,Georgia,https://www.facebook.com/ElectDanaBarrett/,https://www.twitter.com/TheDanaBarrett,,,,
Brooke Siskin,,U.S. House,Georgia,,,,,brookesiskin1@gmail.com,mailto:brookesiskin1@gmail.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Gerald Connolly,https://gerryconnolly.com/,U.S. House,Virginia,https://www.facebook.com/congressmanconnolly/,https://www.twitter.com/electconnolly,https://www.facebook.com/CongressmanGerryConnolly/,https://www.twitter.com/GerryConnolly,info@gerryconnolly.com,mailto:info@gerryconnolly.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Tabitha Johnson-Green,http://tabitha2020.com/,U.S. House,Georgia,https://www.facebook.com/johnsongreenforcongress/,https://www.twitter.com/TJG4GA,https://www.facebook.com/tabitha.johnsongreen,,contact@tabitha2020.com,mailto:contact@tabitha2020.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Liz Johnson (Georgia),https://www.lizjohnsonforcongress.com/,U.S. House,Georgia,https://www.facebook.com/lizjohnsonforcongress/,https://www.twitter.com/LizforGA12th,https://www.facebook.com/liz.johnson.71404976,,elect@lizjohnsonforcongress.com,mailto:elect@lizjohnsonforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Lucy McBath,https://lucyforcongress.com/home/,U.S. House,Georgia,https://www.facebook.com/electlucymcbath/,https://www.twitter.com/lucymcbath,https://www.facebook.com/lucy.mcbath,https://www.twitter.com/RepLucyMcBath,info@lucyforcongress.com,mailto:info@lucyforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Devin Pandy,https://devinpandyforcongress.com/main/,U.S. House,Georgia,https://www.facebook.com/DevinPandyForCongress/,https://www.twitter.com/DevinPandy,https://www.facebook.com/ddpandy,,,
Lindsay Holliday,,U.S. House,Georgia,,,https://www.facebook.com/lindsay.doc.holliday,,,
Kurt Schrader,http://kurtschrader.com/,U.S. House,Oregon,http://www.facebook.com/KurtSchraderOregon,https://www.twitter.com/VoteSchrader,https://www.facebook.com/repschrader,https://www.twitter.com/repschrader,kurt@kurtschrader.com,mailto:kurt@kurtschrader.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Val Almonord,https://almonordforcongress.com/,U.S. House,Georgia,https://www.facebook.com/Almonordforcongress/,https://www.twitter.com/valforcongress3,,,val@almonordforcongress.com,mailto:val@almonordforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Joyce Marie Griggs,https://www.griggsforcongress.com,U.S. House,Georgia,,,https://www.facebook.com/joyce.griggs.56,,,
Carolyn Bourdeaux,https://www.carolyn4congress.com/,U.S. House,Georgia,https://www.facebook.com/carolynforcongress,https://www.twitter.com/Carolyn4GA7,https://www.facebook.com/carolyn.bourdeaux,,carolyn@carolyn4congress.com,mailto:carolyn@carolyn4congress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Lisa Ring,https://www.lisaringforcongress.com/,U.S. House,Georgia,https://www.facebook.com/LisaRingGA/,https://www.twitter.com/LisaRingGA01,https://www.facebook.com/lisa.ring.14289,,,
Peter DeFazio,http://www.defazioforcongress.org/,U.S. House,Oregon,https://www.facebook.com/PeterDeFazioOregon/,https://www.twitter.com/defazio4oregon,https://www.facebook.com/RepPeterDeFazio/,https://www.twitter.com/RepPeterDeFazio,campaign@defazioforcongress.org,mailto:campaign@defazioforcongress.org?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Alex Spenser,http://spenser2020.com/,U.S. House,Oregon,https://www.facebook.com/SPENSER2020/,https://www.twitter.com/spenser2020,https://www.facebook.com/wordswithwings.theradioshow,,,
Rita Hart,https://www.ritahart.com/,U.S. House,Iowa,https://www.facebook.com/RitaHart4Iowa/,https://www.twitter.com/RitaHartIA,https://www.facebook.com/rita.hart.313/,,info@ritahart.com,mailto:info@ritahart.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
David Scott (Georgia),http://votedavidscott.com/,U.S. House,Georgia,https://www.facebook.com/ElectDavidScott/,https://www.twitter.com/Electdavidscott,https://www.facebook.com/RepDavidScott/,https://www.twitter.com/repdavidscott,davidscottforcongress@gmail.com,mailto:davidscottforcongress@gmail.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Debra Haaland,http://debforcongress.com,U.S. House,New Mexico,http://www.facebook.com/DebforCongress,https://www.twitter.com/Deb4CongressNM,https://www.facebook.com/RepDebHaaland/,https://www.twitter.com/RepDebHaaland,info@debforcongress.com,mailto:info@debforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Sanford Bishop Jr.,http://www.sanfordbishop.com/,U.S. House,Georgia,https://www.facebook.com/BishopforCongress,,https://www.facebook.com/BishopforCongress,https://www.twitter.com/SanfordBishop,sanfordbishop@sanfordbishop.com,mailto:sanfordbishop@sanfordbishop.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Abby Finkenauer,https://www.abbyfinkenauer.com/,U.S. House,Iowa,https://www.facebook.com/Abby4Iowa/,https://www.twitter.com/Abby4Iowa,https://www.facebook.com/RepAbbyFinkenauer,https://www.twitter.com/repfinkenauer,info@abbyfinkenauer.com,mailto:info@abbyfinkenauer.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Hank Johnson,http://www.hankforcongress.com/,U.S. House,Georgia,https://www.facebook.com/HankJohnsonJr/,https://www.twitter.com/ReElectHank,https://www.facebook.com/RepHankJohnson/,https://www.twitter.com/RepHankJohnson,info@hankforcongress.com,mailto:info@hankforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Hosea Cleveland,http://voteclevelandforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/clevelandforcongress/,https://www.twitter.com/ClevelandHosea,,,clevelandforcongress@gmail.com,mailto:clevelandforcongress@gmail.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Adair Ford Boroughs,https://www.adairforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/AdairForCongress/,https://www.twitter.com/Adair4Congress,https://www.facebook.com/adair.boroughs,,info@adairforcongress.com,mailto:info@adairforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
John Lewis (Georgia),https://www.johnlewisforcongress.com/,U.S. House,Georgia,https://www.facebook.com/JohnLewisforCongress/,,https://www.facebook.com/RepJohnLewis/,https://www.twitter.com/repjohnlewis,,
Moe Brown,https://www.moeforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/MoeBrownSC/,https://www.twitter.com/MoeBrownSC,https://www.facebook.com/profile.php?id=12633439,,,
Kim Nelson,https://www.kimnelsonforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/KimforSC/,https://www.twitter.com/KimforSC,https://www.facebook.com/kimberly.w.nelson.9,,,
Jennifer Wexton,https://jenniferwexton.com,U.S. House,Virginia,https://www.facebook.com/JenniferTWexton/,https://www.twitter.com/JenniferWexton,https://www.facebook.com/jennifer.wexton,https://www.twitter.com/RepWexton,info@jenniferwexton.com,mailto:info@jenniferwexton.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Joe Cunningham,https://www.joecunninghamforcongress.com/,U.S. House,South Carolina,https://www.facebook.com/JoeCunninghamSC/,https://www.twitter.com/JoeCunninghamSC,https://www.facebook.com/RepJoeCunningham/,https://www.twitter.com/RepCunningham,info@joecunninghamforcongress.com,mailto:info@joecunninghamforcongress.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Cameron Webb,https://www.drcameronwebb.com,U.S. House,Virginia,https://www.facebook.com/DrCameronWebb,https://www.twitter.com/DrCameronWebb,https://www.facebook.com/profile.php?id=7206840,,admin@drcameronwebb.com,mailto:admin@drcameronwebb.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
Abigail Spanberger,https://abigailspanberger.com,U.S. House,Virginia,https://www.facebook.com/SpanbergerForCongress/,https://www.twitter.com/SpanbergerVA07,https://www.facebook.com/RepSpanberger/,https://www.twitter.com/RepSpanberger,info@abigailspanberger.com,mailto:info@abigailspanberger.com?subject=Please%20take%20Ballotpedia%27s%20candidate%20survey&body=I%20saw%20you%20have%20not%20yet%20completed%20Ballotpedia's%20candidate%20survey.%20This%20survey%20aims%20to%20both%20enlighten%20voters%20on%20the%20core%20components%20of%20your%20political%20philosophy%20and%20provide%20you%20the%20chance%20to%20show%20who%20you%20really%20are%E2%80%94to%20reveal%20both%20the%20policies%20and%20the%20person.%0A%0APlease%20complete%20the%20survey%20here%20so%20voters%20can%20learn%20more%20about%20you%3A%20https%3A//ballotpedia.org/Survey
